creative_id,campaign_id,advertiser_id,advertiser_name,app_name,vertical,objective,format,language,asset_file,overall_ctr,overall_cvr,overall_ipm,overall_roas,total_impressions,total_clicks,total_conversions,total_spend_usd,total_revenue_usd,overall_ctr_pct_contextual,overall_cvr_pct_contextual,overall_ipm_pct_contextual,overall_roas_pct_contextual,overall_ctr_pct_global,overall_cvr_pct_global,overall_ipm_pct_global,overall_roas_pct_global,performance_score_contextual,performance_score_global,performance_score_final,readability_score,brand_visibility_score,clutter_score,novelty_score,motion_score,readability_score_pct_contextual,brand_visibility_score_pct_contextual,clutter_score_pct_contextual,novelty_score_pct_contextual,motion_score_pct_contextual,readability_score_pct_global,brand_visibility_score_pct_global,clutter_score_pct_global,novelty_score_pct_global,motion_score_pct_global,creative_quality_score_contextual,creative_quality_score_global,creative_quality_score_final,total_impressions_confidence_score,total_clicks_confidence_score,total_conversions_confidence_score,total_days_active_confidence_score,confidence_score_final,ctr_decay_pct,cvr_decay_pct,ctr_decay_health_score,cvr_decay_health_score,health_score_final,creative_status,fatigue_day,total_days_active,first_7d_ctr,last_7d_ctr,first_7d_cvr,last_7d_cvr,peak_rolling_ctr_5,width,height,creative_launch_date,theme,hook_type,cta_text,headline,subhead,dominant_color,emotional_tone,duration_sec,text_density,copy_length_chars,faces_count,product_count,has_price,has_discount_badge,has_gameplay,has_ugc_style,peak_day_impressions,first_7d_impressions,first_7d_clicks,first_7d_conversions,last_7d_impressions,last_7d_clicks,last_7d_conversions,perf_score,primary_theme,target_age_segment,target_os,countries,start_date,end_date,daily_budget_usd,kpi_goal,hq_region,overall_ctr_context_level,overall_cvr_context_level,overall_ipm_context_level,overall_roas_context_level,brand_visibility_score_context_level,readability_score_context_level,clutter_score_context_level,novelty_score_context_level,motion_score_context_level
500000,20000,1000,PixelForge,PixelForge Legends,gaming,install,interstitial,ja,assets/creative_500000.png,0.0038939086825267,0.1938795743462072,0.7549493579112817,0.6732220740687788,11656411,45389,8800,71899.93,48404.62,0.015873015873015872,0.9682539682539683,0.031746031746031744,0.015873015873015872,0.19444444444444445,0.924074074074074,0.8277777777777777,0.000925925925925926,0.2595238095238095,0.5598148148148147,0.3195820105820105,0.75,0.733,0.466,0.366,0.823,0.6825396825396826,0.8888888888888888,0.47619047619047616,0.015873015873015872,0.25396825396825395,0.27685185185185185,0.7597222222222222,0.7944444444444444,0.1398148148148148,0.8351851851851851,0.6269841269841269,0.44224537037037037,0.5900363756613756,1.0,1.0,1.0,0.9917199075064455,0.9995859953753222,-0.785291349678005,-0.0898799244567573,0.21470865032199504,0.9101200755432427,0.5276437916715565,stable,,57,0.0084688741418129,0.0018183405367354,0.1980903520022801,0.1802860061287027,0.0102055731134143,360,640,2026-01-19,family,power-up,Order now,Level up today,Play with friends tonight,purple,premium,5,0.419,37,0,2,0,0,1,0,940460,3314254,28068,5560,1076806,1958,353,0.3410493827160494,fantasy,45-54,Both,CA|US|ES|JP,2026-01-19,2026-04-02,5386,CPA,LATAM,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format
500001,20000,1000,PixelForge,PixelForge Legends,gaming,install,rewarded_video,en,assets/creative_500001.png,0.0066877354426202,0.2223170269245354,1.4867974604611736,1.1266953986429848,6308862,42192,9380,47396.67,53401.61,0.2909090909090909,0.9272727272727272,0.41818181818181815,0.23636363636363636,0.8037037037037037,0.9861111111111112,0.9361111111111111,0.053703703703703705,0.48363636363636353,0.7456481481481481,0.5360387205387205,0.515,0.86,0.182,0.815,1.0,0.03636363636363636,0.9636363636363636,0.05454545454545454,0.7454545454545455,0.8636363636363636,0.008333333333333333,0.9175925925925926,0.16018518518518518,0.8296296296296296,0.9736111111111111,0.7004545454545454,0.664837962962963,0.693331228956229,0.9708589017470048,0.9977599432284255,1.0,0.9403574963462502,0.983344366410571,-0.8790466075977256,-0.0800892904071556,0.12095339240227443,0.9199107095928444,0.48048418513803093,fatigued,12.0,46,0.0150903941413555,0.0018252343640843,0.2311492765556993,0.212636695018226,0.0154811110016695,360,640,2026-01-30,gameplay,free rewards,Claim reward,Beat your rivals,No ads in first week,blue,excited,20,0.205,12,2,1,0,0,1,0,214688,1126677,17002,3930,901802,1646,350,0.5978395061728395,fantasy,45-54,Both,CA|US|ES|JP,2026-01-19,2026-04-02,5386,CPA,LATAM,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format
500002,20000,1000,PixelForge,PixelForge Legends,gaming,install,rewarded_video,ja,assets/creative_500002.png,0.0070612608783598,0.2055946589379981,1.451757521958632,1.1081073729861737,5472677,38644,7945,41177.21,45628.77,0.36363636363636365,0.6,0.34545454545454546,0.21818181818181817,0.8444444444444444,0.95,0.9287037037037037,0.049074074074074076,0.38727272727272727,0.7412500000000001,0.4580681818181819,0.75,0.672,0.388,0.669,0.842,0.5818181818181818,0.7454545454545455,0.23636363636363636,0.4727272727272727,0.32727272727272727,0.27685185185185185,0.6444444444444445,0.6083333333333333,0.625462962962963,0.8550925925925926,0.6609090909090909,0.4979861111111112,0.6283244949494949,0.9620424114590741,0.9895308266876284,1.0,0.918633021362586,0.9762334428966197,-0.883620876002164,0.0192595213269899,0.11637912399783601,1.0,0.5140085181988099,fatigued,11.0,42,0.0160439836645379,0.0018671847643145,0.2107030015797788,0.2147610405323654,0.0165807282032309,360,640,2026-02-03,feature-focus,competition,Claim reward,Win epic rewards,No ads in first week,blue,playful,10,0.492,52,0,1,0,1,0,0,167737,946897,15192,3201,885290,1653,355,0.6074074074074074,fantasy,45-54,Both,CA|US|ES|JP,2026-01-19,2026-04-02,5386,CPA,LATAM,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format
500003,20000,1000,PixelForge,PixelForge Legends,gaming,install,interstitial,en,assets/creative_500003.png,0.0054818306750161,0.1891360381861575,1.0368117358799032,0.9491882669871504,9554290,52375,9906,58977.52,55980.77,0.23809523809523808,0.873015873015873,0.30158730158730157,0.1746031746031746,0.5879629629629629,0.9101851851851852,0.8666666666666667,0.020370370370370372,0.40634920634920635,0.6525462962962963,0.45558862433862435,0.701,0.639,0.475,0.99,0.805,0.4126984126984127,0.746031746031746,0.5238095238095238,0.9761904761904762,0.23015873015873015,0.15324074074074073,0.5763888888888888,0.8111111111111111,0.9861111111111112,0.8180555555555555,0.5924603174603175,0.4267824074074074,0.5593247354497355,0.9965936106203038,1.0,1.0,0.97874839900079,0.9974045447291763,-0.8583884136533985,-0.0872846037719718,0.14161158634660154,0.9127153962280282,0.4886083007932436,stable,,54,0.0126184306150329,0.0017869159765993,0.1925893380199179,0.175779253960143,0.0139213687319307,360,640,2026-01-22,testimonial,free shipping,Order now,Level up today,No ads in first week,orange,trustworthy,5,0.357,23,0,1,0,0,1,0,369632,2164453,27312,5260,1095183,1957,344,0.4916666666666667,fantasy,45-54,Both,CA|US|ES|JP,2026-01-19,2026-04-02,5386,CPA,LATAM,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format
500004,20000,1000,PixelForge,PixelForge Legends,gaming,install,rewarded_video,en,assets/creative_500004.png,0.005819811395916,0.1975337464980049,1.149609148947077,0.8619217377295777,8095795,47116,9307,60708.18,52325.7,0.10909090909090909,0.38181818181818183,0.10909090909090909,0.03636363636363636,0.6601851851851852,0.9305555555555556,0.887962962962963,0.009259259259259259,0.16272727272727272,0.6773148148148148,0.2656447811447812,0.707,0.472,0.586,0.717,0.892,0.43636363636363634,0.2727272727272727,0.9090909090909091,0.5636363636363636,0.43636363636363634,0.16712962962962963,0.21296296296296297,0.9472222222222222,0.7023148148148148,0.8949074074074074,0.3054545454545454,0.24449074074074076,0.2932617845117845,0.9863225765024082,1.0,1.0,0.9874721598028594,0.9932187674162267,-0.8639709189124348,-0.0659199901627248,0.13602908108756517,0.9340800098372752,0.49515199902493473,stable,,56,0.0133775609917,0.0018197373288938,0.2006472491909385,0.187420584498094,0.0146295330635053,360,640,2026-01-20,reward,limited offer,Get offer,Level up today,Free rewards for new players,purple,urgent,15,0.479,62,1,2,0,0,0,0,367249,1940264,25956,5208,864960,1574,295,0.5191358024691358,fantasy,45-54,Both,CA|US|ES|JP,2026-01-19,2026-04-02,5386,CPA,LATAM,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format
500005,20000,1000,PixelForge,PixelForge Legends,gaming,install,rewarded_video,ja,assets/creative_500005.png,0.0060482250792686,0.2039032996113239,1.2332530504548382,0.9345498333374836,5997958,36277,7397,44977.12,42033.36,0.14545454545454545,0.5454545454545454,0.18181818181818182,0.07272727272727272,0.7046296296296296,0.9462962962962963,0.9018518518518519,0.019444444444444445,0.24363636363636362,0.697037037037037,0.33431649831649835,0.848,0.553,0.553,0.489,0.879,0.8545454545454545,0.4909090909090909,0.8363636363636363,0.14545454545454545,0.41818181818181815,0.6083333333333333,0.3680555555555556,0.9194444444444444,0.31296296296296294,0.8847222222222222,0.46181818181818185,0.37657407407407406,0.4447693602693603,0.9677253458924537,0.9836092997479287,1.0,0.9505356080726242,0.9789055109922176,-0.8753519788836597,-0.0635857312273568,0.12464802111634032,0.9364142687726432,0.48994283256167664,stable,,48,0.0142508379119884,0.001776338744979,0.2062353165280335,0.1931216931216931,0.0146661214183338,360,640,2026-01-28,ugc,competition,Shop now,Beat your rivals,Free rewards for new players,blue,calm,10,0.05,40,2,1,0,0,1,0,204675,1105128,15749,3248,851189,1512,292,0.5419753086419753,fantasy,45-54,Both,CA|US|ES|JP,2026-01-19,2026-04-02,5386,CPA,LATAM,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format
500006,20001,1001,VantaStyle,VantaStyle Drops,ecommerce,purchase,banner,es,assets/creative_500006.png,0.0027744539015031,0.0455592731352553,0.1264021030997586,1.941227777254894,17990207,49913,2274,46536.78,90338.49,0.02,0.08,0.02,0.6,0.016666666666666666,0.009259259259259259,0.000925925925925926,0.3712962962962963,0.151,0.08023148148148149,0.1368462962962963,0.846,0.806,0.294,0.401,0.42,0.48,0.77,0.36,0.16,0.48,0.6027777777777777,0.8694444444444445,0.39166666666666666,0.1736111111111111,0.33240740740740743,0.5895,0.6410648148148148,0.5998129629629629,1.0,1.0,0.8867765055735525,1.0,0.9716941263933881,-0.5677809492945851,-0.1786259044744684,0.4322190507054149,0.8213740955255315,0.6073388208744674,underperformer,,61,0.0041951069690606,0.001813205151775,0.0466220800620335,0.0382941688424717,0.0063333398176236,320,480,2026-01-15,drama,before/after,Order now,Up to 40% off,Only this weekend,red,urgent,0,0.629,80,1,3,0,1,0,0,1450753,7377881,30951,1443,1267369,2298,88,0.1296296296296296,testimonial,45-54,Android,ES|UK|MX,2026-01-11,2026-03-19,2532,CPA,North America,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format
500007,20001,1001,VantaStyle,VantaStyle Drops,ecommerce,purchase,interstitial,es,assets/creative_500007.png,0.0051818604612763,0.0543086340386281,0.2814197634306966,3.050351291416699,6904277,35777,1943,24391.43,74402.43000000001,0.35294117647058826,0.17647058823529413,0.21568627450980393,0.9019607843137255,0.5166666666666667,0.11944444444444445,0.17314814814814813,0.6361111111111111,0.37058823529411766,0.3210185185185185,0.36067429193899786,0.788,0.706,0.29,0.695,0.684,0.35294117647058826,0.696078431372549,0.21568627450980393,0.6274509803921569,0.8823529411764706,0.3902777777777778,0.6972222222222222,0.38425925925925924,0.6657407407407407,0.711574074074074,0.6348039215686274,0.5976851851851852,0.6273801742919389,0.9764509712044963,0.9823090915927009,0.8687383781739944,0.9742668175438942,0.9508781453608918,-0.8437435554275438,0.1346531413612566,0.15625644457245624,1.0,0.5359410445148509,stable,,53,0.0116901614480279,0.0018266630643468,0.0547945205479452,0.0621727748691099,0.0121621344279117,360,640,2026-01-23,feature-focus,before/after,Watch now,Limited stock,Only this weekend,lime,adventurous,8,0.561,66,1,3,1,1,0,0,315663,1298870,15184,832,836498,1528,95,0.4419753086419752,testimonial,45-54,Android,ES|UK|MX,2026-01-11,2026-03-19,2532,CPA,North America,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format
500008,20001,1001,VantaStyle,VantaStyle Drops,ecommerce,purchase,native,es,assets/creative_500008.png,0.0035884980352741,0.0554488363502031,0.1989780403009406,2.642289116341278,7543546,27070,1501,21533.2,56896.94,0.05,0.15,0.05,0.65,0.13425925925925927,0.1398148148148148,0.03333333333333333,0.5814814814814815,0.195,0.1897685185185185,0.19395370370370374,0.609,0.796,0.278,0.198,0.359,0.03333333333333333,0.8166666666666667,0.2833333333333333,0.03333333333333333,0.25,0.041666666666666664,0.8578703703703704,0.3476851851851852,0.03148148148148148,0.24259259259259258,0.48916666666666675,0.48902777777777773,0.48913888888888896,0.9819416933128757,0.9561827818117976,0.839145626907153,0.9505356080726242,0.938232644574163,-0.7988159231274188,-0.1870760272515931,0.20118407687258122,0.8129239727484069,0.47646703001670276,stable,,48,0.0090773019168557,0.0018262086066363,0.055800883179446,0.045361875637105,0.0093729454895087,320,320,2026-01-28,combo,limited offer,Install now,Flash sale live,Only this weekend,teal,playful,0,0.473,71,0,2,0,1,0,1,246249,1097683,9964,556,1074357,1962,89,0.2496913580246913,testimonial,45-54,Android,ES|UK|MX,2026-01-11,2026-03-19,2532,CPA,North America,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format
500009,20001,1001,VantaStyle,VantaStyle Drops,ecommerce,purchase,banner,en,assets/creative_500009.png,0.0030358031224205,0.0514787678852276,0.1562794042843381,2.428691311133428,8587184,26069,1342,21926.22,53252.02,0.1,0.34,0.12,0.88,0.03981481481481482,0.06574074074074074,0.005555555555555556,0.5324074074074074,0.32300000000000006,0.1328240740740741,0.2849648148148149,0.889,0.655,0.539,0.409,0.235,0.7,0.38,0.92,0.19,0.1,0.750462962962963,0.6078703703703704,0.9050925925925926,0.19074074074074074,0.09768518518518518,0.352,0.4480555555555556,0.37121111111111116,0.9899763536088872,0.952652886798282,0.826309110578385,0.9454995670434967,0.9375048368203409,-0.7493751901816303,-0.1464951775756916,0.25062480981836965,0.8535048224243084,0.5219208154910421,underperformer,,47,0.0075443240463902,0.0018907947793347,0.0567447495961227,0.0484319174275506,0.0083275001848835,320,480,2026-01-29,discount,free shipping,Shop now,Limited stock,Free shipping over $25,purple,urgent,0,0.709,91,1,3,1,1,0,1,234427,1312775,9904,562,1332244,2519,122,0.1925925925925926,testimonial,45-54,Android,ES|UK|MX,2026-01-11,2026-03-19,2532,CPA,North America,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format,vertical+objective+format
